edit_team_id,team_name,code3,pesdb_index,confidence,note
1,Ireland,IRL,1,verified,球员实名核对通过
2,Northern Ireland,NIR,2,verified,球员实名核对通过
3,Scotland,SCO,3,verified,球员实名核对通过
4,Wales,WAL,4,verified,球员实名核对通过
5,England,ENG,5,verified,球员实名核对通过
6,Portugal,POR,6,verified,球员实名核对通过
7,Spain,ESP,7,verified,球员实名核对通过
8,France,FRA,8,verified,球员实名核对通过
9,Belgium,BEL,9,verified,球员实名核对通过
10,Netherlands,NED,10,verified,球员实名核对通过
11,Switzerland,SUI,11,verified,球员实名核对通过
12,Italy,ITA,12,verified,球员实名核对通过
13,Czech Republic,CZE,13,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
14,Germany,GER,14,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
15,Denmark,DEN,15,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
16,Norway,NOR,16,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
17,Sweden,SWE,17,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
18,Finland,FIN,18,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
19,Poland,POL,19,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
20,Slovakia,SVK,20,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
21,Austria,AUT,21,verified,球员实名核对通过
22,Hungary,HUN,22,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
23,Slovenia,SVN,23,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
24,Croatia,CRO,24,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
26,Bulgaria,BUL,26,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
27,Greece,GRE,27,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
28,Turkey,TUR,28,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
29,Ukraine,UKR,29,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
30,Russia,RUS,30,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
31,Morocco,MAR,31,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
32,Tunisia,TUN,32,candidate,1:1 假设，未验证（Team.bin 顺序!=team_id，可能错配）
