rec_idx,team_id,n_players,player_ids,player_names
0,1,23,101265|40701|47375|40283|45439|101102|112973|61081|45124|118412|34626|114022|126908|38790|100292|43166|5434|101777|106435|118411|59767|47645|130414,达伦·兰多夫|肖恩·达菲|约翰·伊根|谢默斯·科尔曼|恩达·史蒂文斯|杰弗里·亨德里克|康纳·霍里哈恩|卡勒姆·鲁宾逊|詹姆斯·麦克林|阿龙·康诺利|沙恩·朗|考伊穆欣·凯莱赫|马克·特拉弗斯|夏兰·克拉克|凯文·朗|马特·多尔蒂|格伦·惠兰|哈里·阿特|阿兰·布朗|杰森·莫伦比|罗伯特·布拉迪|肖恩·马圭尔|詹姆斯·柯林斯
1,2,23,110698|42808|35505|101761|118225|101764|104668|7946|39206|121485|35508|59897|121423|130362|101087|112193|43054|124468|42657|47385|101091|111118|112194,皮科克-法雷尔|克雷格·卡思卡特|乔纳森·埃文斯|斯图尔特·达拉斯|贾马尔·刘易斯|乔治·萨维尔|帕特里克·麦克奈尔|史蒂文·戴维斯|尼尔·麦金|乔丹·琼斯|凯尔·拉弗蒂|迈克尔·麦克格文|康纳·阿扎尔|巴拉德|康纳·麦克劳克林|迈克尔·史密斯|科里·埃文斯|约尔丹·汤普森|肖恩·弗格森|马修·肯尼迪|乔希·马格尼斯|康纳·华盛顿|利亚姆·鲍伊斯
2,3,26,59895|42353|116605|112069|121480|101028|132387|103559|112070|114147|132227|9534|112747|38362|113605|121439|135102|115231|42918|116139|101784|121448|121455|124458|121490|121561,大卫·马绍尔|格兰特·汉利|斯科特·麦克托米奈|基兰·蒂尔尼|斯蒂芬·奥唐奈|安德鲁·罗伯逊|比利·吉尔摩|卡勒姆·麦格雷戈|约翰·麦金|切·亚当斯|林登·戴克斯|克雷格·戈登|乔纳森·麦克劳克林|利亚姆·库珀|杰克·亨德里|斯科特·麦克纳|内森·帕特松|约翰·弗莱克|詹姆斯·福里斯特|斯图尔特·阿姆斯特朗|瑞安·弗雷泽|瑞安·克里斯蒂|凯文·尼斯比特|德克兰·加拉格尔|格雷格·泰勒|戴维·特恩布尔
3,4,26,45458|114948|110946|115652|45134|44560|111139|38082|110947|35496|114999|32135|112962|118657|123206|37293|133744|120378|134470|115227|59159|109128|109129|133132|130472|143116,丹尼·沃德|克里斯·梅法姆|乔·罗登|康纳·罗伯茨|本·戴维斯|乔·艾伦|约瑟夫·莫雷尔|阿隆·拉姆齐|丹尼尔·詹姆斯|加雷思·贝尔|基弗·摩尔|韦恩·亨尼西|亚当·戴维斯|伊桑·安帕杜|迈克尔·洛克耶|克里斯·冈特|内科·威廉姆斯|里斯·诺林顿-戴维斯|迪伦·莱维特|大卫·布鲁克斯|乔纳森·威廉斯|哈里·威尔逊|泰勒·罗伯茨|本杰明·卡班戈|马修·史密斯|科尔威尔
4,5,26,47286|47785|100400|126046|47070|108959|110356|118096|114808|45268|47287|106425|115228|45270|109329|100299|110079|40295|132933|118007|101115|110638|114663|114044|41119|127544,乔丹·皮克福德|约翰·斯通斯|泰隆·明斯|里斯·詹姆斯|卢克·肖|德克兰·赖斯|卡尔文·菲利普斯|梅森·芒特|菲利普·福登|拉希姆·斯特林|哈里·凯恩|萨姆·约翰斯通|阿龙·拉姆斯代尔|康纳·科迪|哈里·马奎尔|基兰·特里皮尔|本·奇尔韦尔|乔丹·亨德森|贝林汉姆|杰登·桑乔|杰克·格拉利什|马库斯·拉什福德|多米尼克·卡尔弗特-卢因|本·怀特|凯尔·沃克|布卡约·萨卡
5,6,26,34868|9133|111800|108696|59835|43015|60627|60512|104226|108233|4522|40990|47215|34799|118136|109540|9138|104204|110578|60391|118444|126336|109343|44171|132756|107674,鲁伊·帕特里西奥|佩佩|鲁本·迪亚斯|内尔松·塞梅多|拉斐尔·格雷罗|达尼洛·佩雷拉|威廉|布鲁诺·费尔南德斯|贝尔纳多·席尔瓦|迪奥戈·若塔|克里斯蒂亚诺·罗纳尔多|安东尼·洛佩斯|鲁伊·席尔瓦|何塞·冯特|迪奥戈·达洛特|若奥·帕利尼亚|若昂·穆蒂尼奥|鲁本·内维斯|雷纳托·桑切斯|拉法·席尔瓦|佩德罗·贡萨尔维斯|若奥·菲利克斯|安德烈·席尔瓦|塞尔吉奥·奥利维拉|努诺·门德斯|冈萨洛·格德斯
6,7,24,106957|47522|114910|103008|40425|110815|41082|133157|57349|110902|43094|40571|128299|61056|126337|35876|61058|41126|108239|43262|61050|116751|110596|38568,乌奈·西蒙|埃梅里克·拉波尔特|帕乌·托里斯|略伦特|约尔迪·阿尔巴|罗德里·埃尔南德斯|科克|佩德里|赫拉德·莫雷诺|丹尼尔·奥尔莫|莫拉塔|戴维·德赫亚|罗伯特·桑切斯|略伦特|埃里克·加西亚|塞萨尔·阿斯皮利奎塔|加亚|蒂亚戈·阿尔坎塔拉|法比安·鲁伊斯|巴勃罗·萨拉比亚|阿达马·特劳雷|费兰·托雷斯|米克尔·奥亚尔萨瓦尔|布斯克茨
7,8,26,8574|43076|103206|104752|45089|101334|45023|47051|42316|110718|8944|37026|60447|104418|110784|104271|104717|37035|60906|100967|108069|110626|38627|45076|60446|42296,乌戈·洛里斯|拉斐尔·瓦拉内|普雷斯内尔·金彭贝|本杰明·帕瓦尔|卢卡斯·迪涅|恩戈洛·坎特|保罗·博格巴|阿德里安·拉比奥|安东尼·格里兹曼|基利安·姆巴佩|卡里姆·本泽马|史蒂夫·曼丹达|米克·迈尼昂|克莱门特·朗格莱|朱勒·孔德|莱奥·迪布瓦|卢卡·埃尔南德斯|穆萨·西索科|科朗坦·托利索|托马斯·勒马尔|马库斯·图拉姆|奥斯曼·登贝莱|奥利维尔·吉鲁|库尔特·祖玛|金斯利·科曼|维桑·本耶德尔
8,9,26,44383|103293|38796|34905|59802|59801|46647|63916|40065|57213|40122|42664|106754|41006|117886|37827|46642|113244|44379|127516|36998|38845|44401|6263|119700|42552,蒂博·库尔图瓦|贾森·德纳耶尔|托比·阿尔德韦雷尔德|扬·费尔通亨|莱安德·登东克尔|尤里·蒂莱曼斯|托马·默尼耶|托尔冈·阿扎尔|德利斯·梅尔滕斯|扬尼克·卡拉斯科|罗梅卢·卢卡库|西蒙·米尼奥莱|马茨·塞尔斯|博雅塔|蒂莫西·卡斯塔涅|埃克塞尔·维特塞尔|丹尼斯·普莱特|汉斯·法纳肯|凯文·德布劳内|杰雷米·多库|埃登·阿扎尔|克里斯蒂安·本特克|米西·巴舒亚伊|托马斯·费尔马伦|莱安德罗·特罗萨尔|纳塞尔·沙德利
9,10,25,3222|114105|40875|38797|111986|42660|46866|108662|36288|103142|46879|32485|42539|46850|59766|132155|114604|127069|45393|44849|63489|38491|117932|118316|122012,马尔滕·斯特克伦博格|马泰斯·德里赫特|斯特凡·德弗里|戴利·布林德|登泽尔·邓弗里斯|帕特里克·范安霍尔特|马特恩·德鲁恩|弗兰基·德容|乔尔吉尼奥·维纳尔杜姆|沃特·魏霍斯特|孟菲斯·德佩|蒂姆·克鲁尔|马尔科·比佐特|乔尔·费尔特曼|内森·阿克|尤利安·马杜罗|欧文·韦恩达尔|莱安·格拉芬贝尔赫|戴维·克拉森|史蒂文·博古伊斯|昆西·普罗梅斯|卢克·德容|多尼埃尔·马伦|特恩·科普梅纳斯|科迪·加克波
