team_id,team_name,confidence,n_players,player_names_sample
1,Ireland,HIGH,23,达伦·兰多夫 / 肖恩·达菲 / 约翰·伊根 / 谢默斯·科尔曼 / 恩达·史蒂文斯 / 杰弗里·亨德里克
2,Northern Ireland,HIGH,23,皮科克-法雷尔 / 克雷格·卡思卡特 / 乔纳森·埃文斯 / 斯图尔特·达拉斯 / 贾马尔·刘易斯 / 乔治·萨维尔
3,Scotland,HIGH,26,大卫·马绍尔 / 格兰特·汉利 / 斯科特·麦克托米奈 / 基兰·蒂尔尼 / 斯蒂芬·奥唐奈 / 安德鲁·罗伯逊
4,Wales,HIGH,26,丹尼·沃德 / 克里斯·梅法姆 / 乔·罗登 / 康纳·罗伯茨 / 本·戴维斯 / 乔·艾伦
5,England,HIGH,26,乔丹·皮克福德 / 约翰·斯通斯 / 泰隆·明斯 / 里斯·詹姆斯 / 卢克·肖 / 德克兰·赖斯
6,Portugal,HIGH,26,鲁伊·帕特里西奥 / 佩佩 / 鲁本·迪亚斯 / 内尔松·塞梅多 / 拉斐尔·格雷罗 / 达尼洛·佩雷拉
7,Spain,HIGH,24,乌奈·西蒙 / 埃梅里克·拉波尔特 / 帕乌·托里斯 / 略伦特 / 约尔迪·阿尔巴 / 罗德里·埃尔南德斯
8,France,HIGH,26,乌戈·洛里斯 / 拉斐尔·瓦拉内 / 普雷斯内尔·金彭贝 / 本杰明·帕瓦尔 / 卢卡斯·迪涅 / 恩戈洛·坎特
9,Belgium,HIGH,26,蒂博·库尔图瓦 / 贾森·德纳耶尔 / 托比·阿尔德韦雷尔德 / 扬·费尔通亨 / 莱安德·登东克尔 / 尤里·蒂莱曼斯
10,Netherlands,HIGH,25,马尔滕·斯特克伦博格 / 马泰斯·德里赫特 / 斯特凡·德弗里 / 戴利·布林德 / 登泽尔·邓弗里斯 / 帕特里克·范安霍尔特
11,Switzerland,HIGH,26,扬·索默 / 曼努埃尔·阿坎吉 / 尼科·埃尔韦迪 / 里卡多·罗德里格斯 / 西尔万·威德默 / 史蒂芬 祖贝尔
12,Italy,HIGH,26,詹路易吉·唐纳鲁马 / 莱昂纳多·博努奇 / 乔治·基耶利尼 / 乔瓦尼·迪洛伦佐 / 莱昂纳多·斯皮纳佐拉 / 若日尼奥
13,Czech Republic,HIGH,26,托马什·瓦茨利克 / 翁德雷·采卢斯特卡 / 托马什·卡拉斯 / 库法尔 / 扬·博日尔 / 托马什·霍勒什
14,Germany,HIGH,26,曼努埃尔·诺伊尔 / 胡梅尔斯 / 马蒂亚斯·金特尔 / 安东尼奥·鲁迪格 / 约书亚·基米希 / 罗宾·戈森斯
15,Denmark,HIGH,26,卡斯帕·舒梅切尔 / 西蒙·克亚尔 / 安德烈亚斯·克里斯滕森 / 扬尼克·韦斯特高 / 丹尼尔·瓦斯 / 约阿基姆·梅勒
