idx,file_off,date,f1,f2_hi,f2_lo,f3,f4,f5,f6,f7,f8
0,0x12a72fd,2021-08-16,1,16835,65535,10233,63308,5652565,69222715,0,7366
1,0x12a7321,2021-08-16,0,50627,65535,17988,107077,65536524,4294967295,1,0
2,0x12a7345,2021-08-16,0,24748,65535,9303,34704,3424537,6652190,0,4176
3,0x12a7369,2021-08-16,0,21456,65535,7783,38794,38748592,4294967295,1,0
4,0x12a738d,2021-08-16,0,42143,65535,1321,32764,1917012,5455910,0,35565
5,0x12a73b1,2021-08-17,0,43186,65535,4188,375602,1917012,20480128,0,10020
6,0x12a73d5,2021-08-17,0,43782,2,2321,118535,69288255,3539013,0,78584
7,0x12a73f9,2021-08-17,0,53584,65535,2153,113908,31440932,21758015,0,100000
8,0x12a741d,2021-08-18,0,56727,65535,3693432933,132023,1933402,38486189,0,100000
9,0x12a7441,2021-08-18,0,28353,65535,10243,100165,20496856,4294967295,1,0
10,0x12a7465,2021-08-18,0,30497,65535,3693431494,36782,26132756,4294967295,1,0
11,0x12a7489,2021-08-18,0,57572,65535,188,42666,3047446,6258693,0,35526
12,0x12a74ad,2021-08-19,0,32784,65535,1581,63283,3047446,5931054,0,10560
13,0x12a74d1,2021-08-19,1,24576,65535,2735,127801,2015265,1900625,0,16249
14,0x12a74f5,2021-08-19,0,38769,65535,3769,4526,2015265,29556851,0,5062
15,0x12a7519,2021-08-19,0,41769,65535,12091,103506,3145837,2130293,0,28399
16,0x12a753d,2021-08-19,0,36224,65535,3844,41206,2244739,31621237,0,11225
17,0x12a7561,2021-08-19,0,28816,65535,1643,43046,44122687,4294967295,1,0
18,0x12a7585,2021-08-19,0,39424,65535,3693431521,38683,88555979,4294967295,1,0
19,0x12a75a9,2021-08-19,0,33000,65535,7985,101107,84722076,6340855,0,26054
20,0x12a75cd,2021-08-19,0,21744,65535,1773,41020,1703944,4309044,0,7693
21,0x12a75f1,2021-08-20,1,36864,65535,12072,9317,1703944,2130293,0,27776
22,0x12a7615,2021-08-20,0,29406,65535,898,114903,3489856,5292058,0,135131
23,0x12a7639,2021-08-20,0,60050,65535,5515,46648,1076232407,4294967295,1,0
24,0x12a765d,2021-08-20,0,9402,65535,3693431985,103977,2949403,4294967295,1,0
25,0x12a7681,2021-08-20,0,41134,65535,4171,322961,86852082,4294967295,1,0
26,0x12a76a5,2021-08-20,0,35991,65535,8047,110472,5242903,3129443,0,44594
27,0x12a76c9,2021-08-21,0,6112,65535,126,9043,6176770,6193155,0,4608
28,0x12a76ed,2021-08-21,0,8591,65535,3134,104259,38584499,4112478,0,32047
29,0x12a7711,2021-08-21,0,53515,65535,121,124840,1753089,6193155,0,289714
30,0x12a7735,2021-08-22,0,36773,65535,7662,115227,68714510,66699502,0,300000
31,0x12a7759,2021-08-22,0,10402,65535,15628,47543,1835075,1933402,0,59199
32,0x12a777d,2021-08-22,0,17281,65535,12258,45668,4227113,32686458,0,18680
33,0x12a77a1,2021-08-23,0,41937,65535,8455,143071,6258693,5849349,0,184798
34,0x12a77c5,2021-08-24,0,4835,65535,4360,7507,20447357,20562054,0,18999
35,0x12a77e9,2021-08-24,0,37255,65535,8143,117931,4407621,3129443,0,12770
36,0x12a780d,2021-08-24,0,31664,65535,600,110404,3555398,6537233,0,13184
37,0x12a7831,2021-08-24,0,1860,65535,8858,107543,38453419,32342128,0,10114
38,0x12a7855,2021-08-25,0,51127,65535,15370,42499,3932195,2195943,0,13000
39,0x12a7879,2021-08-25,0,61867,65535,2733,114333,1638412,1900625,0,553332
40,0x12a789d,2021-08-26,1,36307,65535,5101,47834,3391503,2261147,0,57798
41,0x12a78c1,2021-08-26,0,35848,65535,85,116543,37650597,6176770,0,131709
42,0x12a78e5,2021-08-26,0,51646,65535,1841,42479,37650597,3178550,0,47391
43,0x12a7909,2021-08-26,0,58193,65535,867,42588,3178550,5357600,0,54303
44,0x12a792d,2021-08-26,0,43007,65535,1383,47241,3178550,67911720,0,25652
45,0x12a7951,2021-08-26,0,40688,65535,5523,114191,3178550,3014823,0,209035
46,0x12a7975,2021-08-26,0,34965,65535,2486,47244,3833876,1867850,0,100000
47,0x12a7999,2021-08-27,0,11956,65535,1924,100051,27951459,4358200,0,10400
48,0x12a79bd,2021-08-27,0,35994,65535,4221,106631,27951459,20447357,0,13200
49,0x12a79e1,2021-08-27,0,62591,65535,8706,131609,5357600,4243725,0,41228
50,0x12a7a05,2021-08-28,0,64658,65535,5720,107906,5357600,38486189,0,408793
51,0x12a7a29,2021-08-28,0,43148,65535,1830,9567,2048034,3178550,0,13000
52,0x12a7a4d,2021-08-28,0,46576,65535,1801,46649,38486189,4341813,0,35532
53,0x12a7a71,2021-08-28,0,32255,65535,522,33700,6258693,2899974,0,40894
54,0x12a7a95,2021-08-28,0,24780,65535,8704,63399,3407891,4243725,0,31655
55,0x12a7ab9,2021-08-29,0,45713,65535,1734,118968,4243725,1785906,0,0
56,0x12a7add,2021-08-30,1,35954,65535,4542,47835,81838222,44548235,0,1338
57,0x12a7b01,2021-08-30,0,52381,65535,1511,106987,5947657,5914668,0,5051
58,0x12a7b25,2021-08-30,0,45760,65535,1109,36703,2834443,5357600,0,64207
59,0x12a7b49,2021-08-31,0,3769,65535,1721,118977,2834443,1785906,0,553333
60,0x12a7b6d,2021-08-31,0,43665,65535,8717,45288,1900625,4243725,0,15600
