src,kind,idx,date,v1_status,v2_raw,v3_money_x100,v4,v5,v6,v7_flag,v8,f2_hi(player_id),f2_lo,name
ML0,in-season,0,2021-08-16,1,1103364095,10233,63308,5652565,69222715,0,7366,16835,65535,阿拉尔孔
ML0,in-season,1,2021-08-16,0,3317956607,17988,107077,65536524,4294967295,1,0,50627,65535,
ML0,in-season,2,2021-08-16,0,1621950463,9303,34704,3424537,6652190,0,4176,24748,65535,
ML0,in-season,3,2021-08-16,0,1406205951,7783,38794,38748592,4294967295,1,0,21456,65535,
ML0,in-season,4,2021-08-16,0,2761949183,1321,32764,1917012,5455910,0,35565,42143,65535,
ML0,in-season,5,2021-08-17,0,2830303231,4188,375602,1917012,20480128,0,10020,43186,65535,
ML0,in-season,6,2021-08-17,0,2869297154,2321,118535,69288255,3539013,0,78584,43782,2,
ML0,in-season,7,2021-08-17,0,3511746559,2153,113908,31440932,21758015,0,100000,53584,65535,
ML0,in-season,8,2021-08-18,0,3717726207,3693432933,132023,1933402,38486189,0,100000,56727,65535,
ML0,in-season,9,2021-08-18,0,1858207743,10243,100165,20496856,4294967295,1,0,28353,65535,
ML0,in-season,10,2021-08-18,0,1998716927,3693431494,36782,26132756,4294967295,1,0,30497,65535,
ML0,in-season,11,2021-08-18,0,3773104127,188,42666,3047446,6258693,0,35526,57572,65535,
ML0,in-season,12,2021-08-19,0,2148597759,1581,63283,3047446,5931054,0,10560,32784,65535,
ML0,in-season,13,2021-08-19,1,1610678271,2735,127801,2015265,1900625,0,16249,24576,65535,
ML0,in-season,14,2021-08-19,0,2540830719,3769,4526,2015265,29556851,0,5062,38769,65535,
ML0,in-season,15,2021-08-19,0,2737438719,12091,103506,3145837,2130293,0,28399,41769,65535,
ML0,in-season,16,2021-08-19,0,2374041599,3844,41206,2244739,31621237,0,11225,36224,65535,
ML0,in-season,17,2021-08-19,0,1888550911,1643,43046,44122687,4294967295,1,0,28816,65535,
ML0,in-season,18,2021-08-19,0,2583756799,3693431521,38683,88555979,4294967295,1,0,39424,65535,
ML0,in-season,19,2021-08-19,0,2162753535,7985,101107,84722076,6340855,0,26054,33000,65535,
