reg_index,db_id
17,104710
82,142353
87,46850
142,113441
143,39173
145,104677
146,35876
147,110079
148,59458
149,43135
151,112104
152,116652
153,47242
154,45076
157,59993
158,101334
161,47002
174,40704
177,40125
185,47238
187,60430
202,47286
213,101870
231,59966
247,42825
249,103551
256,104722
266,34002
274,121962
300,9042
302,117886
303,112084
306,59801
307,114961
308,114036
312,100140
313,46819
316,35499
317,42805
319,46642
320,100809
321,114855
322,116230
325,35505
335,63474
336,126078
338,113405
339,101028
340,63607
341,41126
342,36288
343,57123
344,57304
345,105029
347,41135
348,44840
349,104337
350,124270
352,40295
353,45126
354,100871
355,40422
356,108233
363,133743
366,132382
369,135549
371,113409
372,46815
374,111800
375,41119
376,113340
377,31052
378,44379
379,114808
380,61725
381,45268
382,108200
384,47522
385,59766
386,126337
387,47787
388,60443
389,110815
391,126510
392,104226
393,116751
394,33702
396,141479
397,142290
403,40571
405,109123
406,114876
407,47070
408,116605
409,45023
410,60512
411,126300
412,110638
414,111450
415,109329
416,110555
417,47727
421,36766
422,107941
423,110947
425,47711
429,42352
431,134467
433,145619
436,107142
480,34657
514,16800
525,114147
536,8574
537,104612
538,38796
539,43166
540,112523
541,59547
542,107691
543,104735
544,43063
545,106593
546,47287
548,47431
550,40989
551,45134
552,37035
553,108751
554,114053
555,40716
556,42898
558,126149
563,135069
564,126597
566,140042
577,116229
594,36396
610,108959
641,104204
653,135067
668,103300
669,111280
670,47128
671,110650
672,46866
673,111138
674,119695
675,101725
676,107498
677,109252
678,60060
679,60466
682,103411
685,61720
686,101221
687,107800
688,42888
689,44636
695,141688
697,141861
698,112079
701,42647
709,126234
732,45090
739,114766
744,47006
787,47007
795,133002
825,133206
832,125652
839,108669
842,38366
843,108206
845,63667
847,111486
853,104745
854,143262
855,47335
858,113979
859,39550
863,45071
864,112583
867,42588
876,38499
878,100428
889,112098
898,114903
906,118167
909,40204
942,40937
943,114105
944,8851
945,40631
946,43985
948,47051
949,123721
950,114235
951,47179
952,43094
955,33079
956,126807
958,105297
959,106614
962,100117
963,4522
968,141470
974,38082
977,133094
981,61089
983,107641
984,35548
985,35878
987,100112
988,111852
989,43277
990,60068
994,44676
995,61397
998,63457
999,109375
1001,104673
1003,41066
1006,37114
1008,114440
1010,141473
1012,124281
1015,141040
1016,103136
1019,131960
1021,8978
1035,111174
1038,47396
1040,38439
1043,40122
1058,108279
1060,113065
1067,101097
1071,47190
1073,118136
1076,109137
1080,36817
1094,60851
1095,2586
1106,46235
1107,47374
1109,36703
1113,116254
1123,60508
1124,102757
1141,134514
1144,39324
1185,108096
1190,37638
1195,117991
1205,114909
1214,38062
1227,60563
1233,58594
1242,107949
1249,59548
1250,133239
1294,39161
1321,32764
1331,100607
1343,110900
1352,60241
1383,47241
1389,103373
1395,60687
1465,103839
1485,34850
1486,127656
1493,114299
1539,43202
1540,108662
1541,132544
1543,132153
1544,121314
1545,38568
1546,138298
1547,126673
1548,42316
1549,110626
1550,61672
1551,8639
1552,45330
1553,104418
1554,42892
1555,40425
1556,37422
1557,42641
1558,133157
1559,7511
1560,133215
1561,60622
1564,132535
1565,114661
1567,122908
1574,112061
1577,116575
1579,107854
1613,119139
1619,60760
1642,118614
1701,44383
