team_id,team_name,confidence,n_players
1,Ireland,HIGH,23
2,Northern Ireland,HIGH,23
3,Scotland,HIGH,26
4,Wales,HIGH,26
5,England,HIGH,26
6,Portugal,HIGH,26
7,Spain,HIGH,24
8,France,HIGH,26
9,Belgium,HIGH,26
10,Netherlands,HIGH,25
11,Switzerland,HIGH,26
12,Italy,HIGH,26
13,Czech Republic,HIGH,26
14,Germany,HIGH,26
15,Denmark,HIGH,26
16,Norway,HIGH,23
17,Sweden,HIGH,26
18,Finland,HIGH,26
19,Poland,HIGH,25
20,Slovakia,HIGH,26
21,Austria,HIGH,26
22,Hungary,HIGH,26
23,Slovenia,HIGH,23
24,Croatia,HIGH,26
26,Bulgaria,HIGH,23
27,Greece,HIGH,23
28,Turkey,HIGH,23
29,Ukraine,HIGH,26
30,Russia,HIGH,26
31,Morocco,HIGH,26
32,Tunisia,HIGH,23
33,Egypt,HIGH,23
34,Nigeria,HIGH,23
35,Cameroon,HIGH,23
36,South Africa,HIGH,23
37,Senegal,HIGH,23
38,United States,HIGH,23
39,Mexico,HIGH,23
40,Jamaica,HIGH,23
41,Costa Rica,HIGH,23
42,Honduras,HIGH,23
43,Colombia,HIGH,23
44,Brazil,HIGH,23
45,Peru,HIGH,23
46,Chile,HIGH,23
47,Paraguay,HIGH,23
48,Uruguay,HIGH,23
49,Argentina,HIGH,23
50,Ecuador,HIGH,23
51,Japan,HIGH,23
52,South Korea,HIGH,23
53,China,HIGH,21
54,Iran,HIGH,29
55,Saudi Arabia,HIGH,23
56,Australia,HIGH,23
57,Latvia,HIGH,23
59,Arsenal FC,MED,23
100,Kashiwa Reysol,MED,33
101,FC Tokyo,MED,35
102,Yokohama F. Marinos,MED,29
103,Shimizu S-Pulse,MED,37
104,JÃºbilo Iwata,MED,34
105,Nagoya Grampus,MED,31
106,Kyoto Sanga,MED,32
107,Gamba Osaka,MED,60
108,Vissel Kobe,MED,30
109,Sanfrecce Hiroshima,MED,34
110,Kawasaki Frontale,MED,32
111,Shonan Bellmare,MED,23
112,Monaco,HIGH,28
113,Marseille,HIGH,37
114,Paris Saint-Germain,HIGH,36
115,Bordeaux,HIGH,29
116,Manchester City,MED,32
117,RSC Anderlecht,MED,27
118,AC Sparta Prague,MED,36
119,Blackburn Rovers,MED,37
120,Everton FC,MED,39
121,Fulham FC,MED,60
122,Tottenham Hotspur,MED,60
123,AJ Auxerre,MED,60
124,Olympique Lyonnais,MED,33
125,RC Lens,MED,60
127,Bayern Munchen,HIGH,39
128,Bayer Leverkusen,HIGH,32
130,Galatasaray,HIGH,30
131,SL Benfica,MED,31
132,FC Porto,MED,31
133,Olympiacos,HIGH,35
134,Dynamo Kyiv,HIGH,36
135,Celta de Vigo,MED,33
136,Real Sociedad,MED,30
137,FenerbahÃ§e SK,MED,27
138,Panathinaikos FC,MED,37
139,Zalgiris Vilnius,MED,36
140,Ceres Negros,MED,28
172,FC Utrecht,MED,31
173,Vitesse Arnhem,MED,31
174,FC Volendam,MED,30
175,Sparta Praha,HIGH,30
176,Athletic Bilbao,MED,34
177,RCD Espanyol,MED,34
178,MÃ¡laga CF,MED,30
179,RCD Mallorca,MED,34
180,Auxerre,HIGH,29
181,Lyon,HIGH,29
182,Lens,HIGH,31
184,Schalke 04,HIGH,39
186,Club Brugge KV,MED,60
187,AEK Athens,MED,28
188,Lokomotiv Moskva,MED,33
190,BeÅiktaÅ JK,MED,33
191,Cruzeiro EC,MED,34
192,Jeonbuk Hyundai Motors,MED,30
193,Pohang Steelers,MED,32
194,Beijing Guoan,MED,32
195,Changchun Yatai,MED,37
196,Wuhan Three Towns,MED,37
197,Fenerbahce,HIGH,32
198,Panathinaikos,HIGH,33
199,Ascoli Calcio,MED,27
200,SSC Bari,MED,34
201,Cagliari Calcio,MED,33
203,SSC Napoli,MED,23
204,Ternana Calcio,MED,35
205,Torino FC,MED,32
207,SC Cambuur-Leeuwarden,MED,31
208,FC Emmen,MED,33
209,Ajaccio,HIGH,30
211,Guingamp,HIGH,30
213,Lille,HIGH,29
215,Montpellier,HIGH,32
216,Nantes,HIGH,29
217,Nice,HIGH,35
218,Rennes,HIGH,28
219,Sochaux,HIGH,34
221,Toulouse,HIGH,37
234,Stade Malherbe Caen,MED,31
235,Clermont Foot,MED,33
239,Chamois Niortais FC,MED,33
240,AS Saint-Ãtienne,MED,28
242,FSV Mainz 05,MED,37
243,Rainmakers Classics,MED,60
244,Fireblast Classics,MED,31
245,Warmstorm Classics,MED,32
250,Predators Classics,MED,25
251,Afghanistan,MED,35
252,Bahrain,MED,29
