slot,f0,f1,f2,f3,f4,f5,f6,f7,f8
0,268961765,1,1103364095,10233,63308,5652565,69222715,0,7366
1,268961765,0,3317956607,17988,107077,65536524,4294967295,1,0
2,268961765,0,1621950463,9303,34704,3424537,6652190,0,4176
3,268961765,0,1406205951,7783,38794,38748592,4294967295,1,0
4,268961765,0,2761949183,1321,32764,1917012,5455910,0,35565
5,285738981,0,2830303231,4188,375602,1917012,20480128,0,10020
6,285738981,0,2869297154,2321,118535,69288255,3539013,0,78584
7,285738981,0,3511746559,2153,113908,31440932,21758015,0,100000
8,302516197,0,3717726207,3693432933,132023,1933402,38486189,0,100000
9,302516197,0,1858207743,10243,100165,20496856,4294967295,1,0
10,302516197,0,1998716927,3693431494,36782,26132756,4294967295,1,0
11,302516197,0,3773104127,188,42666,3047446,6258693,0,35526
12,319293413,0,2148597759,1581,63283,3047446,5931054,0,10560
13,319293413,1,1610678271,2735,127801,2015265,1900625,0,16249
14,319293413,0,2540830719,3769,4526,2015265,29556851,0,5062
15,319293413,0,2737438719,12091,103506,3145837,2130293,0,28399
16,319293413,0,2374041599,3844,41206,2244739,31621237,0,11225
17,319293413,0,1888550911,1643,43046,44122687,4294967295,1,0
18,319293413,0,2583756799,3693431521,38683,88555979,4294967295,1,0
19,319293413,0,2162753535,7985,101107,84722076,6340855,0,26054
20,319293413,0,1425080319,1773,41020,1703944,4309044,0,7693
21,336070629,1,2415984639,12072,9317,1703944,2130293,0,27776
22,336070629,0,1927217151,898,114903,3489856,5292058,0,135131
23,336070629,0,3935502335,5515,46648,1076232407,4294967295,1,0
24,336070629,0,616235007,3693431985,103977,2949403,4294967295,1,0
25,336070629,0,2695823359,4171,322961,86852082,4294967295,1,0
26,336070629,0,2358771711,8047,110472,5242903,3129443,0,44594
27,352847845,0,400621567,126,9043,6176770,6193155,0,4608
28,352847845,0,563085311,3134,104259,38584499,4112478,0,32047
29,352847845,0,3507224575,121,124840,1753089,6193155,0,289714
30,369625061,0,2410020863,7662,115227,68714510,66699502,0,300000
31,369625061,0,681771007,15628,47543,1835075,1933402,0,59199
32,369625061,0,1132593151,12258,45668,4227113,32686458,0,18680
33,386402277,0,2748448767,8455,143071,6258693,5849349,0,184798
34,403179493,0,316932095,4360,7507,20447357,20562054,0,18999
35,403179493,0,2441609215,8143,117931,4407621,3129443,0,12770
36,403179493,0,2075197439,600,110404,3555398,6537233,0,13184
37,403179493,0,121962495,8858,107543,38453419,32342128,0,10114
38,419956709,0,3350724607,15370,42499,3932195,2195943,0,13000
39,419956709,0,4054581247,2733,114333,1638412,1900625,0,553332
40,436733925,1,2379481087,5101,47834,3391503,2261147,0,57798
41,436733925,0,2349400063,85,116543,37650597,6176770,0,131709
42,436733925,0,3384737791,1841,42479,37650597,3178550,0,47391
43,436733925,0,3813801983,867,42588,3178550,5357600,0,54303
44,436733925,0,2818572287,1383,47241,3178550,67911720,0,25652
45,436733925,0,2666594303,5523,114191,3178550,3014823,0,209035
46,436733925,0,2291531775,2486,47244,3833876,1867850,0,100000
47,453511141,0,783613951,1924,100051,27951459,4358200,0,10400
48,453511141,0,2358968319,4221,106631,27951459,20447357,0,13200
49,453511141,0,4102029311,8706,131609,5357600,4243725,0,41228
50,470288357,0,4237492223,5720,107906,5357600,38486189,0,408793
51,470288357,0,2827812863,1830,9567,2048034,3178550,0,13000
52,470288357,0,3052470271,1801,46649,38486189,4341813,0,35532
53,470288357,0,2113929215,522,33700,6258693,2899974,0,40894
54,470288357,0,1624047615,8704,63399,3407891,4243725,0,31655
55,487065573,0,2995912703,1734,118968,4243725,1785906,0,0
56,503842789,1,2356346879,4542,47835,81838222,44548235,0,1338
57,503842789,0,3432906751,1511,106987,5947657,5914668,0,5051
58,503842789,0,2998992895,1109,36703,2834443,5357600,0,64207
59,520620005,0,247070719,1721,118977,2834443,1785906,0,553333
60,520620005,0,2861694975,8717,45288,1900625,4243725,0,15600
61,520620005,0,4095934463,5728,113281,1867850,38486189,0,157999
62,520620005,0,1933705215,3198,108991,1720338,5357600,0,3962
63,520620005,1,456261631,1834,118472,4227113,1769517,0,14023
64,520620005,0,2208366591,8056,103366,6340855,6373625,0,6500
65,520620005,0,3946971135,536,8574,1785906,2932752,0,108000
66,520620005,0,2447769599,1027,109943,1785906,1949726,0,169000
67,520620005,1,1755054079,1567,122908,3178550,1769517,0,41194
68,520620005,0,4019257343,8812,108075,1802295,4341813,0,8516
69,520620005,0,2974285823,3301,104479,3522628,3489856,0,24830
70,520620005,0,1076690943,2184,113379,1851465,3489856,0,105349
71,520620005,0,1098645503,11941,42343,1851465,4294967295,1,0
72,520620005,0,4051959807,1451,103470,67911720,1802295,0,10361
73,520620005,0,1074855935,1125,43079,2097328,5357600,0,36000
74,520620005,0,3099328511,1205,114909,1769517,2048034,0,599267
75,520620005,1,3411083263,34,133551,2916359,1654784,0,36382
76,520620005,1,3508797439,12393,59933,85262717,87720318,0,1282
77,520620005,0,2695495679,3693431839,60966,85262717,4294967295,1,0
78,520620005,0,3493658623,7745,100550,3293420,28836080,0,23323
79,520620005,0,3108175871,1387,100061,3571788,67911720,0,8558
80,520620005,0,2437480447,17536,1073798919,38518959,1098138164,0,16053
81,520620005,0,1890385919,3110,126097,38518959,4096093,0,60903
82,520620005,1,4072341503,127,35086,38469804,6193155,0,17797
83,520620005,0,2636185599,15861,42605,38469804,20185594,0,48230
84,520620005,0,1064370175,7774,47640,6062359,6209777,0,33916
85,520620005,0,2695954431,17519,1073780196,40730813,1095844403,0,56833
86,520620005,0,3236626431,163,38627,1835075,1671172,0,34146
87,520620005,0,1821966335,15462,130355,38568114,3260906,0,40030
88,520620005,0,379650047,15334,40513,38568114,19710438,0,46736
89,520620005,1,2821783551,13555,131754,29639039,2146727,0,25375
90,520620005,0,3486253055,3693432033,107008,29639039,4309044,0,4400
91,520620005,1,2014445567,13923,41109,29786546,30015924,0,1466
92,520620005,1,2810314751,1546,138298,4341813,1769517,0,33464
93,520620005,0,3229155327,953,983,5357600,1966108,0,7000
94,520620005,0,1080164351,3613,132757,4309044,32424046,0,10400
95,520620005,1,3297509375,8080,117739,71483637,68681978,0,1360
96,520620005,0,2224095231,3296,59817,70828132,4294967295,1,0
97,520620005,0,1988689919,8502,131362,39207172,72007943,0,3191
98,520620005,0,287506431,18610,303458,3178550,4294967295,1,0
99,34146277,2877358079,4294967295,4294967295,4294967295,65535,2063728639,4294967295,4294967295
