rec_idx,offset_hex,h3,h4,h3_team,count,h5,h6,h7,n_entries,edit_id_links,sample_entries
0,0x345560,1753089,1654784,,14,0,0,65535,35,0,0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535
1,0x3457B4,6176770,1720338,,15,0,0,65535,35,0,0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535
2,0x345A08,6193155,6537233,,20,0,0,65535,35,0,0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535
3,0x345C5C,1671172,2932752,,16,0,0,65535,35,0,0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535
4,0x345EB0,6258693,3391503,,13,0,0,65535,35,0,0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535
5,0x346104,2899974,68714510,,15,0,0,65535,35,0,0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535
6,0x346358,2916359,1736717,,13,0,0,65535,35,0,0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535
7,0x3465AC,1703944,1638412,,20,0,0,65535,35,0,0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535
8,0x346800,3342345,2834443,,19,0,0,65535,35,0,0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535
9,0x346A54,1687562,3407891,,14,0,0,65535,35,0,0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535
10,0x346CA8,1654784,6176770,,12,0,0,65535,35,0,0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535
11,0x346EFC,3407891,1753089,,15,0,0,65535,35,0,0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535;0:0:65535
