slot,seq,year,month,day,round,flags_hex,home_idx,home_name,away_idx,away_name,n_home_lineup,n_away_lineup
0,0,2021,8,22,16,0x60000011,3,伯恩利,8,利兹联,11,11
1,1,2021,8,22,16,0x60000011,257,沃特福德,7,富勒姆,11,11
2,2,2021,8,22,14,0x60000011,248,诺维奇,5,水晶宫,11,11
3,3,2021,8,22,15,0x60000011,10,利物浦,14,谢菲尔德联,11,11
4,4,2021,8,22,16,0x60000011,12,曼联,15,南安普顿,11,11
5,5,2021,8,22,14,0x60000011,4,切尔西,13,纽卡斯尔联,11,11
6,6,2021,8,22,16,0x60000011,9,莱斯特城,1,阿斯顿维拉,11,11
7,7,2021,8,22,16,0x60000011,16,托特纳姆热刺,6,埃弗顿,11,11
8,8,2021,8,22,13,0x60000011,11,曼城,19,狼队,11,11
9,9,2021,8,22,13,0x60000011,238,伯恩茅斯,0,阿森纳,11,11
10,10,2021,8,29,15,0x60010011,7,富勒姆,3,伯恩利,11,11
11,11,2021,8,29,16,0x60010011,8,利兹联,238,伯恩茅斯,11,11
12,12,2021,8,29,14,0x60010011,5,水晶宫,257,沃特福德,11,11
13,13,2021,8,29,13,0x60010011,14,谢菲尔德联,248,诺维奇,11,11
14,14,2021,8,29,15,0x60010011,15,南安普顿,10,利物浦,11,11
15,15,2021,8,29,13,0x60010011,13,纽卡斯尔联,12,曼联,11,11
16,16,2021,8,29,12,0x60010011,1,阿斯顿维拉,4,切尔西,11,11
17,17,2021,8,29,20,0x60010011,6,埃弗顿,9,莱斯特城,11,11
18,18,2021,8,29,12,0x60010011,19,狼队,16,托特纳姆热刺,11,11
19,19,2021,8,29,13,0x60010011,0,阿森纳,11,曼城,11,11
20,20,2021,9,19,16,0x60020011,3,伯恩利,5,水晶宫,11,11
21,21,2021,9,19,15,0x60020011,8,利兹联,7,富勒姆,11,11
22,22,2021,9,19,14,0x60020011,257,沃特福德,14,谢菲尔德联,11,11
23,23,2021,9,19,15,0x60020011,248,诺维奇,15,南安普顿,11,11
24,24,2021,9,19,16,0x60020011,10,利物浦,13,纽卡斯尔联,11,11
25,25,2021,9,19,13,0x60020011,12,曼联,1,阿斯顿维拉,11,11
26,26,2021,9,19,14,0x60020011,4,切尔西,6,埃弗顿,11,11
27,27,2021,9,19,13,0x60020011,9,莱斯特城,19,狼队,11,11
28,28,2021,9,19,12,0x60020011,16,托特纳姆热刺,0,阿森纳,11,11
29,29,2021,9,19,13,0x60020011,238,伯恩茅斯,11,曼城,11,11
30,30,2021,9,23,20,0x60030011,14,谢菲尔德联,3,伯恩利,11,11
31,31,2021,9,23,14,0x60030011,5,水晶宫,8,利兹联,11,11
32,32,2021,9,23,14,0x60030011,7,富勒姆,238,伯恩茅斯,11,11
33,33,2021,9,23,15,0x60030011,15,南安普顿,257,沃特福德,11,11
34,34,2021,9,23,14,0x60030011,13,纽卡斯尔联,248,诺维奇,11,11
35,35,2021,9,23,15,0x60030011,1,阿斯顿维拉,10,利物浦,11,11
36,36,2021,9,23,14,0x60030011,6,埃弗顿,12,曼联,11,11
37,37,2021,9,23,12,0x60030011,19,狼队,4,切尔西,11,11
38,38,2021,9,23,12,0x60030011,0,阿森纳,9,莱斯特城,11,11
39,39,2021,9,23,12,0x60030011,11,曼城,16,托特纳姆热刺,11,11
40,40,2021,9,26,16,0x60040011,3,伯恩利,15,南安普顿,11,11
41,41,2021,9,26,14,0x60040011,8,利兹联,14,谢菲尔德联,11,11
42,42,2021,9,26,15,0x60040011,7,富勒姆,5,水晶宫,11,11
43,43,2021,9,26,15,0x60040011,257,沃特福德,13,纽卡斯尔联,11,11
44,44,2021,9,26,12,0x60040011,248,诺维奇,1,阿斯顿维拉,11,11
45,45,2021,9,26,15,0x60040011,10,利物浦,6,埃弗顿,11,11
46,46,2021,9,26,15,0x60040011,12,曼联,19,狼队,11,11
47,47,2021,9,26,15,0x60040011,4,切尔西,0,阿森纳,11,11
48,48,2021,9,26,15,0x60040011,9,莱斯特城,11,曼城,11,11
49,49,2021,9,26,14,0x60040011,238,伯恩茅斯,16,托特纳姆热刺,11,11
50,50,2021,10,3,16,0x60050011,13,纽卡斯尔联,3,伯恩利,11,11
51,51,2021,10,3,12,0x60050011,15,南安普顿,8,利兹联,11,11
52,52,2021,10,3,16,0x60050011,14,谢菲尔德联,7,富勒姆,11,11
53,53,2021,10,3,13,0x60050011,5,水晶宫,238,伯恩茅斯,11,11
54,54,2021,10,3,12,0x60050011,1,阿斯顿维拉,257,沃特福德,11,11
55,55,2021,10,3,16,0x60050011,6,埃弗顿,248,诺维奇,11,11
