seq,year,month,day,round
0,2020,8,22,20
1,2020,8,22,12
2,2020,8,22,14
3,2020,8,22,12
4,2020,8,22,15
5,2020,8,22,16
6,2020,8,22,20
7,2020,8,22,12
8,2020,8,22,14
9,2020,8,22,20
10,2020,8,29,12
11,2020,8,29,14
12,2020,8,29,13
13,2020,8,29,15
14,2020,8,29,14
15,2020,8,29,15
16,2020,8,29,13
17,2020,8,29,19
18,2020,8,29,16
19,2020,8,29,15
20,2020,9,19,15
21,2020,9,19,13
22,2020,9,19,13
23,2020,9,19,14
24,2020,9,19,15
25,2020,9,19,12
26,2020,9,19,12
27,2020,9,19,15
28,2020,9,19,12
29,2020,9,19,14
30,2020,9,23,15
31,2020,9,23,20
32,2020,9,23,16
33,2020,9,23,14
34,2020,9,23,16
35,2020,9,23,15
36,2020,9,23,16
37,2020,9,23,14
38,2020,9,23,14
39,2020,9,23,15
40,2020,9,26,16
41,2020,9,26,16
42,2020,9,26,14
43,2020,9,26,13
44,2020,9,26,13
45,2020,9,26,20
46,2020,9,26,16
47,2020,9,26,16
48,2020,9,26,14
49,2020,9,26,15
50,2020,10,3,12
51,2020,10,3,15
52,2020,10,3,15
53,2020,10,3,13
54,2020,10,3,12
55,2020,10,3,15
56,2020,10,3,14
57,2020,10,3,13
58,2020,10,3,20
59,2020,10,3,15
60,2020,10,24,16
61,2020,10,24,15
62,2020,10,24,16
63,2020,10,24,16
64,2020,10,24,16
65,2020,10,24,14
66,2020,10,24,14
67,2020,10,24,16
68,2020,10,24,13
69,2020,10,24,16
70,2020,10,28,13
71,2020,10,28,13
72,2020,10,28,13
73,2020,10,28,12
74,2020,10,28,12
75,2020,10,28,12
76,2020,10,28,13
77,2020,10,28,14
78,2020,10,28,16
79,2020,10,28,15
80,2020,10,31,13
81,2020,10,31,16
82,2020,10,31,14
83,2020,10,31,14
84,2020,10,31,14
85,2020,10,31,16
86,2020,10,31,12
87,2020,10,31,12
88,2020,10,31,16
89,2020,10,31,13
90,2020,11,7,12
91,2020,11,7,20
92,2020,11,7,13
93,2020,11,7,16
94,2020,11,7,14
95,2020,11,7,12
96,2020,11,7,15
97,2020,11,7,15
98,2020,11,7,12
99,2020,11,7,13
100,2020,11,18,12
101,2020,11,18,12
102,2020,11,18,16
103,2020,11,18,14
104,2020,11,18,14
105,2020,11,18,19
106,2020,11,18,12
107,2020,11,18,14
108,2020,11,18,15
109,2020,11,18,20
110,2020,11,21,16
111,2020,11,21,12
112,2020,11,21,15
113,2020,11,21,16
114,2020,11,21,16
115,2020,11,21,15
116,2020,11,21,16
117,2020,11,21,15
118,2020,11,21,13
119,2020,11,21,16
120,2020,11,28,14
121,2020,11,28,13
122,2020,11,28,12
123,2020,11,28,13
124,2020,11,28,13
125,2020,11,28,13
126,2020,11,28,16
127,2020,11,28,13
128,2020,11,28,12
129,2020,11,28,16
130,2020,12,2,14
131,2020,12,2,14
132,2020,12,2,14
133,2020,12,2,13
134,2020,12,2,20
135,2020,12,2,19
136,2020,12,2,15
137,2020,12,2,14
138,2020,12,2,13
139,2020,12,2,19
140,2020,12,5,19
141,2020,12,5,13
142,2020,12,5,15
143,2020,12,5,13
144,2020,12,5,15
145,2020,12,5,16
146,2020,12,5,13
147,2020,12,5,14
148,2020,12,5,15
149,2020,12,5,15
150,2020,12,12,14
151,2020,12,12,13
152,2020,12,12,12
153,2020,12,12,16
154,2020,12,12,14
155,2020,12,12,13
156,2020,12,12,13
157,2020,12,12,12
158,2020,12,12,15
159,2020,12,12,13
160,2020,12,23,15
161,2020,12,23,12
162,2020,12,23,15
163,2020,12,23,16
164,2020,12,23,19
165,2020,12,23,14
166,2020,12,23,16
167,2020,12,23,16
168,2020,12,23,15
169,2020,12,23,20
170,2020,12,26,13
171,2020,12,26,12
172,2020,12,26,19
173,2020,12,26,12
174,2020,12,26,20
175,2020,12,26,16
176,2020,12,26,15
177,2020,12,26,13
178,2020,12,26,13
179,2020,12,26,13
180,2020,12,30,15
181,2020,12,30,16
182,2020,12,30,15
183,2020,12,30,14
184,2020,12,30,15
185,2020,12,30,16
186,2020,12,30,15
187,2020,12,30,15
188,2020,12,30,15
189,2020,12,30,14
190,2021,1,3,14
191,2021,1,3,15
192,2021,1,3,20
193,2021,1,3,16
194,2021,1,3,13
195,2021,1,3,15
196,2021,1,3,13
197,2021,1,3,20
198,2021,1,3,19
199,2021,1,3,14
200,2021,1,14,12
201,2021,1,14,15
202,2021,1,14,14
203,2021,1,14,16
204,2021,1,14,16
205,2021,1,14,12
206,2021,1,14,12
207,2021,1,14,19
208,2021,1,14,14
209,2021,1,14,16
210,2021,1,17,15
211,2021,1,17,15
212,2021,1,17,19
213,2021,1,17,19
214,2021,1,17,14
215,2021,1,17,16
216,2021,1,17,14
217,2021,1,17,14
218,2021,1,17,14
219,2021,1,17,13
220,2021,1,21,14
221,2021,1,21,19
222,2021,1,21,20
223,2021,1,21,12
224,2021,1,21,16
225,2021,1,21,13
226,2021,1,21,20
227,2021,1,21,15
228,2021,1,21,16
229,2021,1,21,13
230,2021,1,24,12
231,2021,1,24,15
232,2021,1,24,16
233,2021,1,24,13
234,2021,1,24,14
235,2021,1,24,16
236,2021,1,24,20
237,2021,1,24,16
238,2021,1,24,16
239,2021,1,24,13
240,2021,2,1,19
241,2021,2,1,20
242,2021,2,1,15
243,2021,2,1,14
244,2021,2,1,15
245,2021,2,1,12
246,2021,2,1,12
247,2021,2,1,16
248,2021,2,1,13
249,2021,2,1,15
250,2021,2,4,13
251,2021,2,4,16
252,2021,2,4,16
253,2021,2,4,14
254,2021,2,4,13
255,2021,2,4,13
256,2021,2,4,16
257,2021,2,4,12
258,2021,2,4,12
259,2021,2,4,13
260,2021,2,7,16
261,2021,2,7,12
262,2021,2,7,15
263,2021,2,7,13
264,2021,2,7,19
265,2021,2,7,12
266,2021,2,7,19
267,2021,2,7,16
268,2021,2,7,12
269,2021,2,7,12
270,2021,2,21,12
271,2021,2,21,13
272,2021,2,21,14
273,2021,2,21,14
274,2021,2,21,15
275,2021,2,21,20
276,2021,2,21,16
277,2021,2,21,16
278,2021,2,21,16
279,2021,2,21,12
280,2021,2,28,14
281,2021,2,28,14
282,2021,2,28,12
283,2021,2,28,15
284,2021,2,28,20
285,2021,2,28,15
286,2021,2,28,14
287,2021,2,28,19
288,2021,2,28,14
289,2021,2,28,13
290,2021,3,7,16
291,2021,3,7,15
292,2021,3,7,16
293,2021,3,7,13
294,2021,3,7,14
295,2021,3,7,15
296,2021,3,7,13
297,2021,3,7,13
298,2021,3,7,16
299,2021,3,7,13
300,2021,3,14,19
301,2021,3,14,16
302,2021,3,14,19
303,2021,3,14,14
304,2021,3,14,13
305,2021,3,14,14
306,2021,3,14,12
307,2021,3,14,12
308,2021,3,14,12
309,2021,3,14,15
310,2021,3,21,16
311,2021,3,21,12
312,2021,3,21,20
313,2021,3,21,14
314,2021,3,21,12
315,2021,3,21,20
316,2021,3,21,13
317,2021,3,21,13
318,2021,3,21,19
319,2021,3,21,15
320,2021,4,11,16
321,2021,4,11,16
322,2021,4,11,12
323,2021,4,11,15
324,2021,4,11,14
325,2021,4,11,15
326,2021,4,11,16
327,2021,4,11,16
328,2021,4,11,12
329,2021,4,11,16
330,2021,4,18,14
331,2021,4,18,15
332,2021,4,18,13
333,2021,4,18,13
334,2021,4,18,14
335,2021,4,18,15
336,2021,4,18,12
337,2021,4,18,12
338,2021,4,18,15
339,2021,4,18,15
340,2021,4,25,15
341,2021,4,25,16
342,2021,4,25,12
343,2021,4,25,12
344,2021,4,25,15
345,2021,4,25,12
346,2021,4,25,14
347,2021,4,25,14
348,2021,4,25,20
349,2021,4,25,13
350,2021,5,2,12
351,2021,5,2,13
352,2021,5,2,19
353,2021,5,2,20
354,2021,5,2,16
355,2021,5,2,13
356,2021,5,2,20
357,2021,5,2,12
358,2021,5,2,12
359,2021,5,2,16
360,2021,5,9,12
361,2021,5,9,13
362,2021,5,9,19
363,2021,5,9,20
364,2021,5,9,14
365,2021,5,9,15
366,2021,5,9,15
367,2021,5,9,20
368,2021,5,9,14
369,2021,5,9,15
370,2021,5,23,13
371,2021,5,23,12
372,2021,5,23,19
373,2021,5,23,16
374,2021,5,23,14
375,2021,5,23,12
376,2021,5,23,13
377,2021,5,23,19
378,2021,5,23,14
379,2021,5,23,15
380,2020,8,22,14
381,2020,8,22,15
382,2020,8,22,17
383,2020,8,22,21
384,2020,8,22,12
385,2020,8,22,15
386,2020,8,22,15
387,2020,8,22,18
388,2020,8,22,14
389,2020,8,22,14
390,2020,8,29,12
391,2020,8,29,17
392,2020,8,29,14
393,2020,8,29,18
394,2020,8,29,12
395,2020,8,29,12
396,2020,8,29,14
397,2020,8,29,14
398,2020,8,29,14
399,2020,8,29,21
400,2020,9,19,13
401,2020,9,19,15
402,2020,9,19,14
403,2020,9,19,15
404,2020,9,19,17
405,2020,9,19,20
406,2020,9,19,21
407,2020,9,19,11
408,2020,9,19,17
409,2020,9,19,18
410,2020,9,23,21
411,2020,9,23,17
412,2020,9,23,17
413,2020,9,23,17
414,2020,9,23,13
415,2020,9,23,13
