ml_idx,name_cn,abbr,stadium,budget_raw,budget_eur,ml_seq
0,ASTON RB,ASN,,700000,70000000,0
1,BRIGHTON WB,BRG,,300000,30000000,1
2,BURNLEY RB,BUR,,300000,30000000,2
3,CHELSEA B,CHE,,300000,30000000,3
4,CRYSTAL PALACE RB,CRY,,900000,90000000,4
5,EVERTON B,EVE,,300000,30000000,5
6,FULHAM W,FUL,,500000,50000000,6
7,LEEDS W,LEE,,300000,30000000,7
8,LEICESTER B,LEI,,100000,10000000,8
9,LIVERPOOL R,LIV,,500000,50000000,9
10,MANCHESTER B,MNB,,900000,90000000,10
11,MANCHESTER UNITED,MUN,,900000,90000000,11
12,NEWCASTLE WB,NEW,,1200000,120000000,12
13,SHEFFIELD RB,SFR,,500000,50000000,13
14,SOUTHAMPTON RW,SOU,,300000,30000000,14
15,TOTTENHAM WB,TOT,,300000,30000000,15
16,WEST BROMWICH WB,WBW,,700000,70000000,16
17,WEST HAM RB,WHA,,100000,10000000,17
18,WOLVERHAMPTON YB,WOL,,500000,50000000,18
19,ATALANTA,ATA,,500000,50000000,19
20,BENEVENTO,BEN,,100000,10000000,20
21,BOLOGNA,BOL,,50000,5000000,21
22,CAGLIARI,CAG,,50000,5000000,22
23,CROTONE,CRO,,50000,5000000,23
24,FIORENTINA,FIO,,30000,3000000,24
25,GENOA,GEN,,100000,10000000,25
26,HELLAS VERONA,VER,,100000,10000000,26
27,JUVENTUS,JUV,,10000,1000000,27
28,LAZIO,LAZ,,5000000,500000000,28
29,LOMBARDIA NA,LOM,,300000,30000000,29
30,MILANO RN,MIR,,700000,70000000,30
31,NAPOLI,NAP,,500000,50000000,31
32,PARMA,PAR,,500000,50000000,32
33,ROMA,ROM,,50000,5000000,33
34,SAMPDORIA,SAM,,300000,30000000,34
35,SASSUOLO,SAS,,100000,10000000,35
36,SPEZIA,SPE,,100000,10000000,36
37,TORINO,TOR,,10000,1000000,37
38,UDINESE,UDI,,100000,10000000,38
39,ÁLAVA AB,ALV,,100000,10000000,39
40,BILBAO BR,BIL,,50000,5000000,40
41,CÁDIZ AA,CAD,,300000,30000000,41
42,EIBAR AR,EIB,,10000,1000000,42
43,ELCHE BV,ELC,,50000,5000000,43
44,FC BARCELONA,BAR,,30000,3000000,44
45,GETAFE A,GET,,5000000,500000000,45
46,GRANADA RB,GRA,,100000,10000000,46
47,HUESCA RA,HUE,,50000,5000000,47
48,LEVANTE RA,LEV,,30000,3000000,48
49,MADRID CHAMARTIN B,MDC,,100000,10000000,49
50,MADRID ROSAS RB,MDR,,1200000,120000000,50
51,PAMPLONA RA,PAM,,5000000,500000000,51
52,SEVILLA NERVIÓN BR,SEN,,30000,3000000,52
53,SEVILLA TRIANA VB,SET,,300000,30000000,53
54,VALENCIA BN,VLC,,300000,30000000,54
55,VALLADOLID MB,VLL,,500000,50000000,55
56,VASCO GIPUZKOA AB,VCG,,30000,3000000,56
57,VIGO AB,VIG,,100000,10000000,57
58,VILLARREAL A,VIL,,100000,10000000,58
59,ANGERS,SCO,,300000,30000000,59
60,BORDEAUX,GDB,,50000,5000000,60
61,BREST,SB,,100000,10000000,61
62,DIJON,DIJ,,10000,1000000,62
63,LILLE,LIL,,30000,3000000,63
64,LORIENT,FCL,,300000,30000000,64
65,METZ,FCM,,50000,5000000,65
66,MONACO,ASM,,50000,5000000,66
67,MONTPELLIER,MON,,300000,30000000,67
68,NANTES,FCN,,50000,5000000,68
69,NICE,OGC,,100000,10000000,69
70,NÎMES,NIM,,300000,30000000,70
71,OLYMPIQUE LYONNAIS,OL,,30000,3000000,71
72,OLYMPIQUE MARSEILLE,OM,,300000,30000000,72
73,PSG,PSG,,300000,30000000,73
74,RC LENS,RCL,,5000000,500000000,74
75,RENNES,REN,,50000,5000000,75
76,SAINT-ÉTIENNE,STE,,100000,10000000,76
77,STADE DE REIMS,SDR,,100000,10000000,77
78,STRASBOURG,RCS,,50000,5000000,78
79,ADO DEN HAAG,ADO,,50000,5000000,79
80,AJAX,AJA,,10000,1000000,80
81,AZ,AZ,,100000,10000000,81
82,EMMEN,EMM,,30000,3000000,82
83,FEYENOORD,FEY,,10000,1000000,83
84,FORTUNA SITTARD,FOR,,50000,5000000,84
85,GRONINGEN,GRO,,10000,1000000,85
86,HEERENVEEN,HEE,,30000,3000000,86
