pesdb_index,english_name,code3
1,Ireland,IRL
2,Northern Ireland,NIR
3,Scotland,SCO
4,Wales,WAL
5,England,ENG
6,Portugal,POR
7,Spain,ESP
8,France,FRA
9,Belgium,BEL
10,Netherlands,NED
11,Switzerland,SUI
12,Italy,ITA
13,Czech Republic,CZE
14,Germany,GER
15,Denmark,DEN
16,Norway,NOR
17,Sweden,SWE
18,Finland,FIN
19,Poland,POL
20,Slovakia,SVK
21,Austria,AUT
22,Hungary,HUN
23,Slovenia,SVN
24,Croatia,CRO
25,Romania,ROU
26,Bulgaria,BUL
27,Greece,GRE
28,Turkey,TUR
29,Ukraine,UKR
30,Russia,RUS
31,Morocco,MAR
32,Tunisia,TUN
33,Egypt,EGY
34,Nigeria,NGA
35,Cameroon,CMR
36,South Africa,ZAF
37,Senegal,SEN
38,United States,USA
39,Mexico,MEX
40,Jamaica,JAM
41,Costa Rica,CRI
42,Honduras,HND
43,Colombia,COL
44,Brazil,BRA
45,Peru,PER
46,Chile,CHL
47,Paraguay,PRY
48,Uruguay,URY
49,Argentina,ARG
50,Ecuador,ECU
51,Japan,JPN
52,South Korea,KOR
53,China,CHN
54,Iran,IRN
55,Saudi Arabia,SAU
56,Australia,AUS
57,Latvia,LVA
58,Manchester United,MUN
59,Arsenal FC,ARS
60,Chelsea FC,CHE
61,Liverpool FC,LIV
62,Leeds United,LEE
63,West Ham United,WHU
64,Newcastle United,NEW
65,Aston Villa FC,AVL
66,FC Barcelona,BAR
67,Real Madrid CF,RMA
68,Valencia CF,VAL
69,AS Monaco,ASM
70,Olympique Marseille,OM
71,Paris Saint-Germain,PSG
72,Girondins de Bordeaux,GDB
73,Ajax Amsterdam,AJA
74,Feyenoord Rotterdam,FEY
75,PSV Eindhoven,PSV
76,Inter Milan,INT
77,Juventus FC,JUV
78,AC Milan,MIL
79,SS Lazio,LAZ
80,Parma Calcio,PAR
81,ACF Fiorentina,FIO
82,AS Roma,ROM
83,Borussia Dortmund,BVB
84,Bayern München,FCB
85,Bayer 04 Leverkusen,LEV
86,Galatasaray SK,GS
87,Celtic FC,CEL
88,Rangers FC,RAN
89,Olympiakos Piraeus,OLY
90,Dynamo Kyiv,DYN
91,Spartak Moskva,SPM
92,Vasco da Gama,VAS
93,SE Palmeiras,PAL
94,CA River Plate,RIV
95,CA Boca Juniors,BOC
96,ML Default Europe,MLD
97,Consadole Sapporo,SPP
98,Kashima Antlers,KAA
99,Urawa Red Diamonds,URD
100,Kashiwa Reysol,KAS
101,FC Tokyo,TOK
102,Yokohama F. Marinos,YFM
103,Shimizu S-Pulse,SMZ
104,Júbilo Iwata,IWT
105,Nagoya Grampus,NGY
106,Kyoto Sanga,KYT
107,Gamba Osaka,GAM
108,Vissel Kobe,KBE
109,Sanfrecce Hiroshima,SAH
110,Kawasaki Frontale,KAF
111,Shonan Bellmare,SHN
112,Cerezo Osaka,COS
113,Avispa Fukuoka,AVI
114,Sagan Tosu,TSU
115,Atlético Madrid,ATM
116,Manchester City,MCI
117,RSC Anderlecht,AND
118,AC Sparta Prague,SPA
119,Blackburn Rovers,BLB
120,Everton FC,EVE
121,Fulham FC,FUL
122,Tottenham Hotspur,TOT
123,AJ Auxerre,AJA
124,Olympique Lyonnais,OL
125,RC Lens,RCL
126,FC Schalke 04,S04
127,SV Werder Bremen,SVW
128,Bologna FC,BOL
129,Brescia Calcio,BRE
130,Udinese Calcio,UDI
131,SL Benfica,SLB
132,FC Porto,POR
133,Sporting CP,SCP
134,Real Betis,BET
135,Celta de Vigo,CEL
136,Real Sociedad,RSO
137,Fenerbahçe SK,FB
138,Panathinaikos FC,PAN
139,Zalgiris Vilnius,ZLG
140,Ceres Negros,CER
141,Birmingham City,BIR
142,Leicester City,LEI
143,Middlesbrough FC,MID
144,Southampton FC,SOU
145,Wolverhampton Wanderers,WOL
146,AC Ajaccio,ACA
147,SC Bastia,SCB
148,EA Guingamp,EAG
149,LOSC Lille,LIL
150,Montpellier HSC,MON
151,FC Nantes,FCN
152,OGC Nice,OGC
153,Stade Rennais FC,REN
154,FC Sochaux-Montbéliard,SOC
155,FC Toulouse,TFC
156,Borussia Mönchengladbach,BMG
157,Eintracht Frankfurt,SGE
158,SC Freiburg,SCF
159,VfB Stuttgart,VFB
160,VfL Wolfsburg,WOL
161,Atalanta BC,ATA
162,FC Empoli,EMP
163,Modena FC,MOD
164,Palermo FC,PAL
165,Reggina 1914,REG
166,UC Sampdoria,SAM
167,AZ Alkmaar,AZ
168,FC Groningen,GRO
169,SC Heerenveen,HEE
170,NEC Nijmegen,NEC
171,FC Twente,TWE
172,FC Utrecht,UTR
173,Vitesse Arnhem,VIT
174,FC Volendam,VOL
175,RKC Waalwijk,RKC
176,Athletic Bilbao,ATH
177,RCD Espanyol,ESP
178,Málaga CF,MAL
