pid,reg_pos,offensive_awareness,ball_control,tight_possession,low_pass,lofted_pass,finishing,place_kicking,curl,speed,acceleration,jump,physical_contact,balance,stamina,ball_winning,aggression,gk_awareness,gk_catching,gk_reach,defensive_awareness,gk_clearing,heading,dribbling,gk_reflexes,kicking_power,overall
144679,4,55,64,62,64,59,55,54,58,64,69,61,60,63,63,55,58,40,40,40,51,40,60,60,40,60,54
401041,4,65,67,64,68,69,59,68,68,67,66,63,65,65,69,58,64,40,40,40,58,40,60,68,40,65,61
55250,4,60,58,64,65,70,59,51,43,57,70,67,75,61,79,71,64,40,40,40,70,40,65,58,40,70,61
135006,4,58,64,60,65,69,57,65,66,67,69,66,70,65,70,65,67,40,40,40,64,40,61,59,40,66,61
401336,4,65,67,64,68,69,59,68,68,67,66,63,65,65,69,58,64,40,40,40,58,40,60,68,40,65,64
120321,4,59,65,61,66,68,58,56,66,66,67,65,73,64,71,67,75,40,40,40,66,40,65,62,40,68,63
305632,4,59,60,63,70,69,54,63,61,72,65,74,75,60,77,60,65,40,40,40,66,40,66,62,40,75,64
135056,4,59,68,65,62,65,60,58,63,66,65,66,83,65,70,70,67,40,40,40,67,40,70,65,40,75,64
127620,4,57,71,67,74,66,51,55,60,73,73,65,64,68,77,73,70,40,40,40,69,40,67,73,40,65,67
60901,4,64,74,75,72,67,56,66,65,70,72,61,65,76,75,60,71,40,40,40,58,40,63,71,40,64,68
320870,4,60,71,68,70,68,59,65,70,73,71,70,74,62,75,63,67,40,40,40,65,40,66,66,40,72,68
107526,4,60,65,61,66,64,59,61,61,74,72,69,79,60,78,75,81,40,40,40,70,40,67,65,40,76,68
124871,4,64,71,68,72,71,60,65,64,75,72,70,65,64,73,73,74,40,40,40,71,40,63,66,40,73,69
100123,4,61,72,71,72,71,59,66,65,70,69,71,79,62,76,72,70,40,40,40,69,40,66,66,40,74,70
54991,4,66,76,80,74,76,69,75,77,71,72,70,70,59,74,68,63,40,40,40,62,40,66,73,40,77,74
119443,4,65,70,65,73,72,60,69,71,69,73,72,64,80,76,75,72,40,40,40,71,40,63,66,40,67,71
43645,4,62,75,71,72,71,63,60,67,76,71,73,73,69,78,71,77,40,40,40,67,40,66,66,40,76,72
401004,4,65,67,64,68,69,59,68,68,67,66,63,70,65,69,58,64,40,40,40,58,40,60,68,40,65,61
107414,4,62,71,70,78,73,56,55,60,74,75,74,78,72,79,80,75,40,40,40,78,40,73,73,40,70,75
60364,4,66,78,77,80,84,67,62,63,68,65,72,76,71,77,72,68,40,40,40,76,40,71,71,40,84,77
1073784167,4,68,75,77,79,74,65,60,64,74,72,77,85,69,82,83,74,40,40,40,80,40,74,75,40,78,79
264478,4,71,80,76,85,83,77,76,75,70,72,71,80,60,87,77,85,40,40,40,76,40,70,78,40,84,84
134450,4,78,84,81,79,79,81,66,69,85,82,87,93,83,93,87,94,40,40,40,89,40,90,81,40,84,91
128913,12,64,58,56,51,51,65,52,52,63,60,52,60,61,65,45,47,40,40,40,45,40,60,55,40,55,52
130527,12,59,67,67,66,65,67,60,62,74,67,63,60,58,65,47,51,40,40,40,46,40,63,68,40,62,57
1073877487,12,69,64,60,65,57,70,62,62,68,70,68,65,63,66,45,49,40,40,40,56,40,62,66,40,67,60
128835,12,69,68,65,64,61,69,64,62,69,66,70,65,67,64,46,57,40,40,40,43,40,66,63,40,73,60
140906,12,65,68,70,65,65,66,63,64,69,72,68,63,68,66,47,51,40,40,40,50,40,60,69,40,67,61
138225,12,61,64,57,65,67,65,60,65,78,77,70,62,72,75,51,56,40,40,40,50,40,63,70,40,71,61
121358,12,71,72,69,65,61,69,63,64,73,71,68,76,62,68,49,55,40,40,40,47,40,67,73,40,70,66
139808,12,70,68,65,62,58,70,61,61,75,74,73,73,69,72,48,59,40,40,40,49,40,75,67,40,69,66
123992,12,68,66,67,62,56,69,62,61,79,77,72,73,70,74,51,66,40,40,40,48,40,70,69,40,69,66
65205,12,72,72,62,70,64,72,68,67,74,72,66,75,60,74,52,50,40,40,40,57,40,69,70,40,72,67
103839,12,73,68,70,64,62,71,60,65,76,77,71,80,63,70,49,58,40,40,40,45,40,73,70,40,78,69
130559,12,73,71,69,64,59,74,64,60,82,80,74,68,78,71,51,57,40,40,40,48,40,70,72,40,71,70
115233,12,76,68,69,68,64,76,64,68,78,79,69,72,67,74,51,67,40,40,40,47,40,68,66,40,72,70
1073781711,12,76,72,63,66,61,77,72,73,73,76,77,80,65,71,48,49,40,40,40,50,40,78,70,40,80,72
44820,12,77,75,70,68,65,76,64,66,71,69,78,71,77,74,53,51,40,40,40,52,40,80,70,40,76,73
122099,12,76,73,71,67,62,74,72,64,74,68,73,77,64,75,50,70,40,40,40,53,40,79,73,40,79,72
131027,12,77,75,71,67,61,74,70,74,78,71,76,80,70,78,41,59,40,40,40,43,40,82,75,40,82,74
111420,12,77,72,70,71,62,75,70,76,81,79,75,78,69,78,45,69,40,40,40,51,40,73,72,40,82,74
39550,12,80,80,77,75,69,78,71,69,82,83,82,70,77,77,42,55,40,40,40,41,40,75,83,40,82,78
114663,12,82,80,78,74,66,79,60,68,83,80,90,84,75,84,52,75,40,40,40,52,40,86,75,40,80,82
134569,12,90,82,81,79,77,90,77,72,84,85,88,79,62,84,52,80,40,40,40,58,40,87,82,40,79,89
212908215,12,97,86,82,85,87,96,78,84,81,78,83,91,72,91,59,73,40,40,40,53,40,90,81,40,93,94
125163,6,51,55,65,53,48,52,49,55,71,73,62,61,65,65,49,64,40,40,40,52,40,53,59,40,63,53
144178,6,62,67,70,63,65,58,64,64,70,74,61,60,70,64,50,56,40,40,40,51,40,52,69,40,64,59
143309,6,63,67,64,63,59,61,57,63,75,80,60,61,71,68,55,64,40,40,40,51,40,54,72,40,66,61
135161,6,61,74,67,70,66,59,66,71,71,75,61,60,70,65,51,60,40,40,40,50,40,60,69,40,65,62
136020,6,66,67,64,68,69,59,68,68,67,66,63,65,65,68,58,64,40,40,40,58,40,60,68,40,65,61
139182,6,65,67,64,68,69,59,68,68,67,66,63,70,65,69,58,64,40,40,40,58,40,60,68,40,65,61
1073857420,6,62,65,69,63,66,55,61,67,68,74,73,60,80,67,62,62,40,40,40,63,40,61,66,40,65,61
126352,6,59,67,64,65,61,58,57,68,79,82,66,63,77,73,61,61,40,40,40,56,40,60,71,40,68,64
1073758285,6,65,72,75,65,66,62,64,65,73,78,65,60,66,72,54,60,40,40,40,53,40,61,77,40,70,67
113839,6,66,67,70,68,71,61,62,60,86,87,67,66,73,74,52,59,40,40,40,50,40,61,73,40,63,69
121582,6,66,71,69,69,71,66,69,66,74,74,60,63,66,72,58,75,40,40,40,53,40,60,76,40,62,67
