reg_id,val,hyp_db_id
17745,1073758006,1074806582
17746,1073872164,1074920740
17747,1073857453,1074906029
17748,1073877533,1074926109
17749,1073865203,1074913779
17750,1073857458,1074906034
17751,1073877542,1074926118
17752,1073847949,1074896525
17753,1073789214,1074837790
17754,1073803084,1074851660
17755,1073872169,1074920745
17757,1073872166,1074920742
17758,1073877530,1074926106
17759,1073877531,1074926107
17760,1073877539,1074926115
17761,1073877540,1074926116
17762,1073857463,1074906039
17763,1073859813,1074908389
17764,1073851837,1074900413
17765,1073782755,1074831331
17766,1073877541,1074926117
17767,1073877546,1074926122
17768,1073806789,1074855365
17769,1073857444,1074906020
17770,1073877527,1074926103
17771,1073877528,1074926104
17772,1073877532,1074926108
17773,1073850380,1074898956
17774,1073877529,1074926105
17775,1073877534,1074926110
17776,1073877537,1074926113
17777,1073877538,1074926114
17778,1073877543,1074926119
17779,1073877536,1074926112
17780,1073865204,1074913780
17781,1073856359,1074904935
17782,1073877535,1074926111
17783,1073877544,1074926120
17784,1073877545,1074926121
19090,53018,1101594
