team_id,name,source,confidence
1,Ireland,team_id=pesdb(国家队1:1),HIGH
2,Northern Ireland,team_id=pesdb(国家队1:1),HIGH
3,Scotland,team_id=pesdb(国家队1:1),HIGH
4,Wales,team_id=pesdb(国家队1:1),HIGH
5,England,team_id=pesdb(国家队1:1),HIGH
6,Portugal,team_id=pesdb(国家队1:1),HIGH
7,Spain,team_id=pesdb(国家队1:1),HIGH
8,France,team_id=pesdb(国家队1:1),HIGH
9,Belgium,team_id=pesdb(国家队1:1),HIGH
10,Netherlands,team_id=pesdb(国家队1:1),HIGH
11,Switzerland,team_id=pesdb(国家队1:1),HIGH
12,Italy,team_id=pesdb(国家队1:1),HIGH
13,Czech Republic,team_id=pesdb(国家队1:1),HIGH
14,Germany,team_id=pesdb(国家队1:1),HIGH
15,Denmark,team_id=pesdb(国家队1:1),HIGH
16,Norway,team_id=pesdb(国家队1:1),HIGH
17,Sweden,team_id=pesdb(国家队1:1),HIGH
18,Finland,team_id=pesdb(国家队1:1),HIGH
19,Poland,team_id=pesdb(国家队1:1),HIGH
20,Slovakia,team_id=pesdb(国家队1:1),HIGH
21,Austria,team_id=pesdb(国家队1:1),HIGH
22,Hungary,team_id=pesdb(国家队1:1),HIGH
23,Slovenia,team_id=pesdb(国家队1:1),HIGH
24,Croatia,team_id=pesdb(国家队1:1),HIGH
26,Bulgaria,team_id=pesdb(国家队1:1),HIGH
27,Greece,team_id=pesdb(国家队1:1),HIGH
28,Turkey,team_id=pesdb(国家队1:1),HIGH
29,Ukraine,team_id=pesdb(国家队1:1),HIGH
30,Russia,team_id=pesdb(国家队1:1),HIGH
31,Morocco,team_id=pesdb(国家队1:1),HIGH
32,Tunisia,team_id=pesdb(国家队1:1),HIGH
33,Egypt,team_id=pesdb(国家队1:1),HIGH
34,Nigeria,team_id=pesdb(国家队1:1),HIGH
35,Cameroon,team_id=pesdb(国家队1:1),HIGH
36,South Africa,team_id=pesdb(国家队1:1),HIGH
37,Senegal,team_id=pesdb(国家队1:1),HIGH
38,United States,team_id=pesdb(国家队1:1),HIGH
39,Mexico,team_id=pesdb(国家队1:1),HIGH
40,Jamaica,team_id=pesdb(国家队1:1),HIGH
41,Costa Rica,team_id=pesdb(国家队1:1),HIGH
42,Honduras,team_id=pesdb(国家队1:1),HIGH
43,Colombia,team_id=pesdb(国家队1:1),HIGH
44,Brazil,team_id=pesdb(国家队1:1),HIGH
45,Peru,team_id=pesdb(国家队1:1),HIGH
46,Chile,team_id=pesdb(国家队1:1),HIGH
47,Paraguay,team_id=pesdb(国家队1:1),HIGH
48,Uruguay,team_id=pesdb(国家队1:1),HIGH
49,Argentina,team_id=pesdb(国家队1:1),HIGH
50,Ecuador,team_id=pesdb(国家队1:1),HIGH
51,Japan,team_id=pesdb(国家队1:1),HIGH
52,South Korea,team_id=pesdb(国家队1:1),HIGH
53,China,team_id=pesdb(国家队1:1),HIGH
54,Iran,team_id=pesdb(国家队1:1),HIGH
55,Saudi Arabia,team_id=pesdb(国家队1:1),HIGH
56,Australia,team_id=pesdb(国家队1:1),HIGH
57,Latvia,team_id=pesdb(国家队1:1),HIGH
59,Arsenal FC,"Team.bin推测(俱乐部,可能改链)",MED
100,Kashiwa Reysol,"Team.bin推测(俱乐部,可能改链)",MED
101,FC Tokyo,"Team.bin推测(俱乐部,可能改链)",MED
102,Yokohama F. Marinos,"Team.bin推测(俱乐部,可能改链)",MED
103,Shimizu S-Pulse,"Team.bin推测(俱乐部,可能改链)",MED
104,JÃºbilo Iwata,"Team.bin推测(俱乐部,可能改链)",MED
105,Nagoya Grampus,"Team.bin推测(俱乐部,可能改链)",MED
106,Kyoto Sanga,"Team.bin推测(俱乐部,可能改链)",MED
107,Gamba Osaka,"Team.bin推测(俱乐部,可能改链)",MED
108,Vissel Kobe,"Team.bin推测(俱乐部,可能改链)",MED
109,Sanfrecce Hiroshima,"Team.bin推测(俱乐部,可能改链)",MED
110,Kawasaki Frontale,"Team.bin推测(俱乐部,可能改链)",MED
111,Shonan Bellmare,"Team.bin推测(俱乐部,可能改链)",MED
112,Monaco,patch,HIGH
113,Marseille,patch,HIGH
114,Paris Saint-Germain,patch,HIGH
115,Bordeaux,patch,HIGH
116,Manchester City,"Team.bin推测(俱乐部,可能改链)",MED
117,RSC Anderlecht,"Team.bin推测(俱乐部,可能改链)",MED
118,AC Sparta Prague,"Team.bin推测(俱乐部,可能改链)",MED
119,Blackburn Rovers,"Team.bin推测(俱乐部,可能改链)",MED
120,Everton FC,"Team.bin推测(俱乐部,可能改链)",MED
121,Fulham FC,"Team.bin推测(俱乐部,可能改链)",MED
122,Tottenham Hotspur,"Team.bin推测(俱乐部,可能改链)",MED
123,AJ Auxerre,"Team.bin推测(俱乐部,可能改链)",MED
124,Olympique Lyonnais,"Team.bin推测(俱乐部,可能改链)",MED
125,RC Lens,"Team.bin推测(俱乐部,可能改链)",MED
127,Bayern Munchen,patch,HIGH
128,Bayer Leverkusen,patch,HIGH
130,Galatasaray,patch,HIGH
131,SL Benfica,"Team.bin推测(俱乐部,可能改链)",MED
132,FC Porto,"Team.bin推测(俱乐部,可能改链)",MED
133,Olympiacos,patch,HIGH
134,Dynamo Kyiv,patch,HIGH
135,Celta de Vigo,"Team.bin推测(俱乐部,可能改链)",MED
136,Real Sociedad,"Team.bin推测(俱乐部,可能改链)",MED
137,FenerbahÃ§e SK,"Team.bin推测(俱乐部,可能改链)",MED
138,Panathinaikos FC,"Team.bin推测(俱乐部,可能改链)",MED
139,Zalgiris Vilnius,"Team.bin推测(俱乐部,可能改链)",MED
